name;population;latitude;longitude
Кивацкое;30;53.8394444444444;52.6147222222222
Брюмбель;30;59.4030555555556;28.8272222222222
Брагино;30;59.1730555555556;39.3163888888889
Безово;30;59.8108333333333;32.5675
Усть-Пожва;30;59.0561111111111;56.1469444444444
Колесники;30;54.1080555555556;31.8891666666667
Антипино;30;56.4816666666667;53.6633333333333
Крупшево;30;56.8158333333333;36.1672222222222
Батуровка;30;52.1488888888889;36.4108333333333
Юшково;30;57.5044444444444;27.6305555555556
Машково;30;56.3980555555556;38.6536111111111
Сельский Бор;30;63.5863888888889;39.0416666666667
Липнягова;30;56.0930555555556;64.5277777777778
Сторожно;30;60.5233333333333;32.6222222222222
Доминиково;30;55.7975;29.6747222222222
Новозотовское;30;60.3433333333333;33.0736111111111
Козлаково;30;55.6894444444444;35.0077777777778
Локотня;30;55.6966666666667;36.5872222222222
Удельная Чащиха;30;57.0536111111111;45.1094444444444
Восточный;30;55.1422222222222;72.7297222222222
Якино;30;57.1655555555556;49.4327777777778
Мари-Васькино;30;57.2769444444444;47.5866666666667
Бахари;30;60.4416666666667;57.0683333333333
Удальцово;30;57.1963888888889;34.555
Хирцово;30;58.5319444444444;34.5816666666667
Кашино;30;57.1225;42.105
Архиповка;30;53.1677777777778;32.7191666666667
Березуй;30;53.3102777777778;36.1597222222222
Карпово;30;56.5666666666667;28.4494444444444
Кирпичный;30;45.7891666666667;40.1527777777778
Морозовка;30;51.9230555555556;40.7225
Юматово;30;55.6919444444444;48.7133333333333
Тамбичозеро;30;62.6666666666667;36.1063888888889
Дунаево;30;57.0297222222222;30.8827777777778
Старое Истомино;30;55.1825;33.6180555555556
Загоски;30;58.6238888888889;49.3938888888889
Сосновка;30;55.4455555555556;47.9172222222222
Усть Колпна;30;53.9738888888889;37.6577777777778
Ушкатты;30;50.7558333333333;59.9641666666667
Малая Сухотинка;30;53.1386111111111;38.5541666666667
Лебедево;30;51.3086111111111;46.6261111111111
Овсяниково;30;58.0747222222222;34.865
Подгорье;30;59.7772222222222;45.2002777777778
Табаковка;30;53.3933333333333;42.4238888888889
Никольское;30;53.4225;39.6644444444444
Галкино;30;51.9444444444444;39.2208333333333
Покровка;30;55.8483333333333;97.5505555555556
Янкова;30;57.3988888888889;67.9988888888889
Левинская;30;59.485;38.5155555555556
Николаевка;30;51.3330555555556;35.2116666666667
Богатыревка;30;52.2447222222222;45.2225
Каблуково;30;57.7808333333333;36.4188888888889
Жеребенки;30;56.6777777777778;53.3591666666667
Сусолиха;30;57.2661111111111;37.2208333333333
Козлово;30;56.3963888888889;35.3425
Кильца;30;65.5025;44.8141666666667
Чащь;30;56.1980555555556;36.1236111111111
Мочалово;30;57.4088888888889;48.7783333333333
Старое;30;57.8633333333333;35.2494444444444
Федюкино;30;54.7544444444444;32.3233333333333
Малоисимово;30;52.5575;56.5055555555556
Петряево;30;57.6741666666667;45.7816666666667
Хомяково;30;53.1222222222222;38.6197222222222
Березники;30;58.4047222222222;44.8391666666667
Подборовье;30;58.3447222222222;27.6402777777778
Большое Токарево;30;59.2897222222222;42.0505555555556
Средняя Яруга;30;51.875;42.1572222222222
Крокодиново;30;54.5569444444444;32.2219444444444
Новорождественский;30;54.79;81.4525
Мордовичи;30;56.3172222222222;30.4861111111111
Белое;30;57.7388888888889;34.2375
Рождественский;30;50.7683333333333;39.7527777777778
Шарай;30;54.2552777777778;53.2858333333333
Перунова;30;56.3161111111111;63.795
Оболицко-1;30;58.0755555555556;30.6113888888889
Артемьево;30;58.0780555555556;34.8969444444444
Чинур;30;54.8088888888889;41.3586111111111
Ногино;30;57.3372222222222;28.3975
Инихово;30;53.32;38.8122222222222
Станьково;30;54.5727777777778;32.48
Пятово;30;53.1555555555556;36.5983333333333
Атамановка;30;50.6566666666667;39.3661111111111
Рогатино;30;56.4619444444444;36.8308333333333
Вахонькино;30;59.3713888888889;37.2041666666667
Екимово;30;58.3255555555556;43.3958333333333
Абатурово;30;56.0147222222222;44.6219444444444
Мир;30;58.4558333333333;39.4283333333333
Фоминская 1-я;30;61.0188888888889;42.0747222222222
Красный Пахарь;30;44.7394444444444;40.2988888888889
Чубариха;30;57.1244444444444;43.1916666666667
Булякай;30;53.4427777777778;55.2975
Булдыри;30;59.4822222222222;54.6388888888889
Дубасовский;30;52.2616666666667;43.9161111111111
Буровка;30;52.4705555555556;47.4505555555556
Верх-Мостовинский;30;55.4469444444444;85.3286111111111
Дальний;30;52.9644444444444;39.9638888888889
Кузнецовская;30;61.1705555555556;40.2816666666667
Беле;30;51.4197222222222;87.7947222222222
Муратово;30;59.5622222222222;29.5636111111111
Новая Жизнь;30;53.3322222222222;36.0469444444444
Тарбагатай;30;51.7583333333333;109.282777777778
Сатырево;30;56.9372222222222;39.9797222222222
Лариха;30;57.6891666666667;54.9930555555556
Канамаш;30;56.5272222222222;51.085
Сосновка;30;57.7605555555556;43.6833333333333
Казаново;30;53.0691666666667;33.2680555555556
Казинки;30;53.7727777777778;33.6816666666667
Чесноковка;30;56.9475;56.55
Иван Труд;30;55.9513888888889;31.5316666666667
Политово;30;64.0836111111111;48.855
Андрюшкино;30;57.0988888888889;50.9383333333333
Волчьи Ямы;30;57.6319444444444;28.5933333333333
Назарково;30;56.9125;42.2783333333333
Башмаково;30;57.4538888888889;53.5019444444444
Тохта;30;62.2391666666667;48.8902777777778
